amount,account_age,holder_age,account_balance,transaction_time,entry_type,gender,broswer,avs,cvv,connection_type,card_number,account_type,location,bank,label
7025,4030,53,1230,5,magnetic strip,female,Mozilla/5.0,n,6348,https,465,debit,Bulawayo,First Capital Bank,True
4438,5587,47,1663,10,online,male,Chrome/41.0.2272.89,y,2744,http,681,debit,Harare,Agribank,False
5271,7440,24,1602,10,online,female,lk/41.0.2272.89,n,5105,https,262,debit,Bulawayo,Steward Bank,True
7878,5776,51,2808,1,chip,female,Mozilla/5.0,y,2369,http,552,debit,Harare,BANC ABC,False
1339,6597,52,4526,10,chip,female,Chrome/41.0.2272.89,y,6225,https,297,debit,Rusape,Agribank,False
4617,7124,34,5797,11,online,male,Mozilla/5.0,n,6047,https,178,debit,Bulawayo,Agribank,False
1449,3313,55,4935,13,online,male,AppleWebKit/537.36,n,5165,https,893,debit,Bulawayo,Agribank,False
3238,10015,34,1571,4,online,female,Mozilla/5.0,y,9504,http,177,credit,Harare,Agribank,False
7450,262,39,5778,9,magnetic strip,male,Mozilla/5.0,y,8840,http,192,debit,Bulawayo,Agribank,True
5857,10520,30,571,12,online,female,Mozilla/5.0,y,6464,https,773,credit,Bulawayo,Agribank,False
3399,2520,53,5338,8,online,male,Chrome/41.0.2272.89,y,5703,http,528,credit,Harare,Agribank,False
1709,4639,45,375,13,chip,female,Safari/537.36,n,9591,http,459,credit,Harare,FBC Bank,False
7562,7054,57,5249,2,online,male,Chrome/41.0.2272.89,n,3228,http,679,credit,Harare,BANC ABC,False
2163,3958,26,5321,6,chip,female,Safari/537.36,n,7716,http,346,debit,Harare,FBC Bank,False
3713,7645,47,5042,8,online,female,Chrome/41.0.2272.89,y,5901,http,126,credit,Hwange,Steward Bank,False
6486,755,54,2978,12,chip,female,Safari/537.36,n,2375,http,617,credit,Marondera,Steward Bank,False
1572,10907,52,3058,8,chip,female,Safari/537.36,y,4544,https,625,debit,Gweru,Agribank,False
1931,2145,56,4961,1,magnetic strip,male,Mozilla/5.0,y,4849,https,451,credit,Harare,Steward Bank,False
7170,9796,41,5728,6,chip,female,Safari/537.36,y,8081,http,238,debit,Harare,BANC ABC,False
703,6286,45,1729,7,online,male,Linux x86_64,n,6435,https,889,credit,Kwekwe,FBC Bank,False
4665,9220,26,274,13,magnetic strip,female,Mozilla/5.0,y,7038,https,886,credit,Harare,FBC Bank,False
843,5735,48,4433,4,chip,male,Chrome/41.0.2272.89,n,6741,http,231,credit,Bulawayo,Agribank,True
756,3301,31,2902,6,chip,male,Mozilla/5.0,n,3559,http,350,credit,Hwange,BANC ABC,False
6054,9174,27,2967,9,online,male,lk/41.0.2272.89,n,8106,http,183,credit,Bulawayo,First Capital Bank,False
8223,8612,57,3034,13,online,female,Chrome/41.0.2272.89,n,6089,http,612,credit,Marondera,CBZ Bank,False
3063,1911,36,1996,13,online,female,Chrome/41.0.2272.89,n,6949,http,192,debit,Harare,Agribank,False
897,3358,41,1711,4,chip,female,Safari/537.36,n,2024,http,329,debit,Bulawayo,FBC Bank,False
8010,1768,52,5807,11,online,female,Mozilla/5.0,n,9361,https,867,credit,Kwekwe,Agribank,False
8203,457,26,2047,13,online,female,lk/41.0.2272.89,n,6840,http,804,debit,Bindura,First Capital Bank,False
6985,6153,54,3538,9,chip,female,Chrome/41.0.2272.89,y,7363,http,932,credit,Marondera,Agribank,False
3100,8041,39,1776,10,online,male,Chrome/41.0.2272.89,n,8545,https,249,debit,Gweru,Agribank,False
3389,2366,28,5884,6,online,female,Mozilla/5.0,y,2251,https,146,debit,Bulawayo,Agribank,False
8911,8511,37,1495,9,chip,male,Chrome/41.0.2272.89,y,3325,http,321,debit,Harare,Agribank,False
3580,2641,45,2762,9,online,female,Chrome/41.0.2272.89,n,7833,https,973,debit,Harare,Steward Bank,False
4790,3487,57,5902,3,chip,female,Chrome/41.0.2272.89,n,4019,https,717,debit,Gweru,BANC ABC,False
8961,1856,45,3518,1,online,male,AppleWebKit/537.36,n,6143,https,236,credit,Kwekwe,Agribank,False
6280,3408,28,3136,4,online,female,Mozilla/5.0,y,6295,http,779,credit,Rusape,Steward Bank,False
8325,4958,32,1254,10,online,female,Chrome/41.0.2272.89,n,9019,http,225,debit,Bindura,First Capital Bank,False
5927,3096,53,3204,10,chip,female,Mozilla/5.0,y,7423,https,109,debit,Marondera,Agribank,False
6375,1186,34,5112,4,chip,female,Chrome/41.0.2272.89,n,8965,https,512,debit,Bindura,Agribank,False
2914,3441,39,2643,5,chip,female,Chrome/41.0.2272.89,n,8283,https,898,credit,Harare,Agribank,False
3613,2692,43,3451,2,online,female,Mozilla/5.0,y,4375,http,855,credit,Harare,FBC Bank,False
5602,3217,32,5715,4,online,female,AppleWebKit/537.36,n,1335,http,127,credit,Bulawayo,First Capital Bank,False
831,1202,49,1806,13,chip,male,Mozilla/5.0,n,5517,https,250,debit,Rusape,Agribank,False
6371,1762,37,4840,10,online,female,lk/41.0.2272.89,y,8364,https,520,debit,Bulawayo,BANC ABC,True
2634,4046,34,408,7,magnetic strip,female,Chrome/41.0.2272.89,n,7522,http,726,debit,Bulawayo,FBC Bank,False
5513,4112,25,4750,3,magnetic strip,male,Chrome/41.0.2272.89,n,8145,http,106,debit,Bulawayo,Agribank,False
5350,421,25,96,9,magnetic strip,male,Mozilla/5.0,n,5830,http,648,debit,Marondera,Steward Bank,False
1559,9705,37,1886,6,online,male,Mozilla/5.0,y,5392,http,362,credit,Bulawayo,Steward Bank,False
6474,10988,32,3938,2,online,female,Linux x86_64,n,1608,https,776,credit,Bulawayo,Agribank,False
5634,1013,25,1270,3,chip,male,Mozilla/5.0,n,8885,http,394,debit,Gweru,Agribank,False
756,1266,28,1565,3,chip,male,Safari/537.36,y,8582,http,800,debit,Gweru,First Capital Bank,False
8996,10463,49,4616,1,magnetic strip,female,Chrome/41.0.2272.89,n,1297,http,789,credit,Harare,BANC ABC,False
7811,10839,29,2709,6,online,male,Chrome/41.0.2272.89,y,2030,https,748,credit,Rusape,FBC Bank,False
1759,3490,51,1931,8,online,female,Safari/537.36,n,7866,http,308,credit,Kwekwe,First Capital Bank,False
7226,10534,24,2614,12,online,male,Chrome/41.0.2272.89,n,3844,https,469,debit,Bulawayo,Agribank,False
4436,2206,43,1657,3,chip,male,Mozilla/5.0,n,8370,https,597,debit,Hwange,BANC ABC,False
4825,4547,33,5619,12,chip,female,Chrome/41.0.2272.89,y,9130,https,851,debit,Rusape,CBZ Bank,True
