age,asv,Amount,CardNo,Label,location,card_type,bank
113.0,2.0,8829.0,13473.0,True,Nyanga,Credit,First Capital Bank
55.0,5.0,283.0,16023.0,False,Harare,Credit,AgriBank
120.0,12.0,120.0,16023.0,False,Hwange,Credit,AgriBank
226.0,9.0,3193.0,16023.0,False,Nyanga,Credit,Steward Bank
226.0,9.0,3193.0,16023.0,False,Bulawayo,Debit,Cabs Bank
226.0,9.0,3193.0,16023.0,False,Hwange,Credit,AgriBank
226.0,9.0,3193.0,16023.0,False,Kadoma,Debit,FBC Bank
120.0,12.0,53.0,16023.0,False,Harare,Credit,FBC Bank
120.0,12.0,47.0,16023.0,False,Bulawayo,Credit,FBC Bank
120.0,12.0,127.0,16023.0,False,Kadoma,Credit,AgriBank
120.0,12.0,113.0,16023.0,False,Harare,Credit,FBC Bank
120.0,12.0,133.0,16023.0,False,Bindura,Credit,FBC Bank
12.0,3.0,1.0,16023.0,False,Harare,Credit,Cabs Bank
12.0,3.0,468.0,16023.0,False,Kadoma,Credit,CBZ Bank
55.0,4.0,125.0,16023.0,False,Bulawayo,Debit,Standard Bank
55.0,5.0,125.0,16023.0,False,Kwekwe,Credit,FBC Bank
12.0,3.0,1000.0,16023.0,False,Harare,Credit,Cabs Bank
12.0,3.0,4993.0,16023.0,False,Bindura,Credit,NMB Bank
55.0,4.0,246.0,16023.0,False,Kwekwe,Credit,FBC Bank
12.0,3.0,11618.0,16023.0,False,Harare,Credit,Banc ABC
103.0,5.0,3287.0,16023.0,False,Kadoma,Credit,FBC Bank
48.0,4.0,1617.0,16023.0,False,Bulawayo,Debit,AgriBank
15.0,9.0,485.0,16023.0,False,Kwekwe,Credit,Standard Bank
12.0,3.0,3059.0,16023.0,False,Bulawayo,Debit,Cabs Bank
44.0,13.0,2500.0,16559.0,False,Bulawayo,Credit,Steward Bank
44.0,13.0,1546.0,16559.0,False,Bindura,Credit,Steward Bank
44.0,13.0,2500.0,16559.0,False,Harare,Debit,FBC Bank
46.0,7.0,850.0,16559.0,False,Bulawayo,Credit,NMB Bank
46.0,7.0,650.0,16559.0,False,Bulawayo,Credit,AgriBank
44.0,13.0,2887.0,16559.0,False,Hwange,Credit,First Capital Bank
44.0,13.0,2887.0,16559.0,False,Bindura,Credit,Standard Bank
46.0,7.0,850.0,16559.0,False,Kadoma,Credit,Cabs Bank
46.0,7.0,650.0,16559.0,False,Bulawayo,Credit,Cabs Bank
44.0,13.0,2887.0,16559.0,False,Harare,Credit,Cabs Bank
44.0,13.0,2887.0,16559.0,False,Harare,Credit,AgriBank
46.0,7.0,850.0,16559.0,False,Harare,Credit,Cabs Bank
46.0,7.0,650.0,16559.0,False,Kadoma,Debit,CBZ Bank
44.0,13.0,565.0,16559.0,False,Bindura,Credit,FBC Bank
44.0,13.0,1726.0,16559.0,False,Harare,Credit,CBZ Bank
44.0,13.0,1161.0,16559.0,False,Bindura,Credit,AgriBank
46.0,7.0,850.0,16559.0,False,Bindura,Credit,Banc ABC
46.0,7.0,650.0,16559.0,False,Bindura,Credit,Cabs Bank
44.0,13.0,2500.0,16559.0,False,Harare,Credit,AgriBank
44.0,13.0,2500.0,16559.0,False,Marondera,Credit,Steward Bank
46.0,7.0,850.0,16559.0,False,Bulawayo,Debit,FBC Bank
46.0,7.0,650.0,16559.0,False,Bulawayo,Credit,First Capital Bank
44.0,13.0,2500.0,16559.0,False,Marondera,Credit,AgriBank
44.0,13.0,2500.0,16559.0,False,Harare,Debit,Cabs Bank
46.0,7.0,850.0,16559.0,False,Harare,Credit,AgriBank
46.0,7.0,650.0,16559.0,False,Bulawayo,Credit,NMB Bank
44.0,13.0,2500.0,16559.0,False,Kadoma,Credit,Steward Bank
44.0,13.0,2500.0,16559.0,False,Bulawayo,Debit,FBC Bank
46.0,7.0,850.0,16559.0,False,Bindura,Credit,NMB Bank
46.0,7.0,650.0,16559.0,False,Bulawayo,Credit,AgriBank
44.0,13.0,2500.0,16559.0,False,Bindura,Credit,Cabs Bank
44.0,13.0,2500.0,16559.0,False,Harare,Debit,AgriBank
46.0,7.0,850.0,16559.0,False,Hwange,Credit,AgriBank
46.0,7.0,650.0,16559.0,False,Harare,Credit,FBC Bank
44.0,13.0,2500.0,16559.0,False,Harare,Debit,Steward Bank
44.0,13.0,2500.0,16559.0,False,Harare,Credit,Cabs Bank
46.0,7.0,850.0,16559.0,False,Marondera,Credit,Cabs Bank
46.0,7.0,650.0,16559.0,False,Harare,Credit,NMB Bank
113.0,5.0,84.0,16893.0,False,Harare,Credit,FBC Bank
113.0,5.0,34.0,16893.0,False,Harare,Debit,FBC Bank
53.0,6.0,2518.0,16893.0,False,Bindura,Credit,First Capital Bank
53.0,6.0,2518.0,16893.0,False,Hwange,Credit,AgriBank
53.0,4.0,5036.0,16893.0,False,Bulawayo,Debit,First Capital Bank
14.0,3.0,140.0,16893.0,False,Harare,Credit,FBC Bank
53.0,4.0,6548.0,16893.0,False,Harare,Credit,AgriBank
53.0,6.0,3274.0,16893.0,False,Harare,Credit,FBC Bank
53.0,6.0,3274.0,16893.0,False,Kadoma,Debit,NMB Bank
14.0,3.0,20.0,16893.0,False,Harare,Debit,FBC Bank
53.0,4.0,6537.0,16893.0,False,Harare,Debit,FBC Bank
53.0,6.0,3269.0,16893.0,False,Harare,Credit,AgriBank
53.0,6.0,3269.0,16893.0,False,Harare,Credit,Cabs Bank
53.0,4.0,6537.0,16893.0,False,Bulawayo,Debit,Cabs Bank
53.0,6.0,3269.0,16893.0,False,Kadoma,Credit,Banc ABC
53.0,6.0,3269.0,16893.0,False,Kadoma,Credit,Banc ABC
53.0,4.0,5023.0,16893.0,False,Bulawayo,Credit,First Capital Bank
53.0,6.0,2512.0,16893.0,False,Harare,Credit,FBC Bank
53.0,6.0,2512.0,16893.0,False,Harare,Debit,Cabs Bank
53.0,4.0,3045.0,16893.0,False,Harare,Debit,AgriBank
53.0,6.0,1015.0,16893.0,False,Bulawayo,Debit,NMB Bank
53.0,6.0,1015.0,16893.0,False,Bulawayo,Credit,AgriBank
53.0,6.0,1015.0,16893.0,False,Harare,Credit,FBC Bank
14.0,3.0,564.0,16893.0,False,Bindura,Credit,FBC Bank
53.0,4.0,7995.0,16893.0,False,Harare,Credit,Cabs Bank
53.0,6.0,3998.0,16893.0,False,Bulawayo,Debit,FBC Bank
53.0,6.0,3998.0,16893.0,False,Bulawayo,Debit,AgriBank
52.0,4.0,1844.0,16893.0,False,Nyanga,Credit,FBC Bank
52.0,4.0,1779.0,16893.0,False,Hwange,Credit,AgriBank
15.0,13.0,879.0,16893.0,False,Kadoma,Debit,Steward Bank
47.0,4.0,31.0,16893.0,False,Harare,Credit,FBC Bank
169.0,1.0,145.0,16893.0,False,Harare,Credit,Cabs Bank
14.0,3.0,600.0,16893.0,False,Harare,Debit,Cabs Bank
53.0,4.0,9762.0,16893.0,False,Hwange,Credit,First Capital Bank
53.0,6.0,3261.0,16893.0,False,Kadoma,Credit,NMB Bank
53.0,6.0,3261.0,16893.0,False,Harare,Credit,AgriBank
53.0,6.0,3240.0,16893.0,False,Kadoma,Debit,Cabs Bank
53.0,4.0,9762.0,16893.0,False,Harare,Credit,Cabs Bank
53.0,6.0,3261.0,16893.0,False,Kadoma,Credit,AgriBank
53.0,6.0,3261.0,16893.0,False,Bulawayo,Credit,Banc ABC
53.0,6.0,3240.0,16893.0,False,Hwange,Credit,Standard Bank
53.0,6.0,2513.0,16893.0,False,Kadoma,Credit,Cabs Bank
53.0,6.0,2513.0,16893.0,False,Bindura,Debit,FBC Bank
53.0,6.0,2492.0,16893.0,False,Bindura,Credit,Cabs Bank
53.0,4.0,7516.0,16893.0,False,Kwekwe,Debit,FBC Bank
53.0,4.0,7516.0,16893.0,False,Harare,Debit,NMB Bank
53.0,6.0,2513.0,16893.0,False,Nyanga,Credit,Cabs Bank
53.0,6.0,2513.0,16893.0,False,Bulawayo,Credit,AgriBank
53.0,6.0,2492.0,16893.0,False,Bulawayo,Credit,FBC Bank
46.0,4.0,217.0,16893.0,False,Harare,Debit,FBC Bank
53.0,4.0,4398.0,16893.0,False,Kadoma,Credit,Banc ABC
53.0,6.0,1466.0,16893.0,False,Nyanga,Credit,Steward Bank
53.0,6.0,1466.0,16893.0,False,Bulawayo,Credit,FBC Bank
53.0,6.0,1466.0,16893.0,False,Harare,Credit,AgriBank
33.0,12.0,208.0,16893.0,False,Harare,Debit,AgriBank
15.0,13.0,879.0,16893.0,False,Marondera,Debit,First Capital Bank
47.0,4.0,31.0,16893.0,False,Bindura,Credit,Standard Bank
70.0,5.0,260.0,16893.0,False,Kadoma,Debit,Cabs Bank
26.0,9.0,165.0,16893.0,False,Harare,Credit,FBC Bank
113.0,5.0,56.0,16893.0,False,Harare,Credit,FBC Bank
80.0,15.0,84.0,16893.0,False,Harare,Credit,FBC Bank
113.0,5.0,82.0,16893.0,False,Harare,Credit,AgriBank
113.0,5.0,76.0,16893.0,False,Harare,Credit,FBC Bank
113.0,5.0,78.0,16893.0,False,Bulawayo,Debit,AgriBank
113.0,5.0,84.0,16893.0,False,Nyanga,Credit,Cabs Bank
113.0,5.0,5.0,16893.0,False,Harare,Credit,Cabs Bank
53.0,4.0,16508.0,16893.0,False,Kadoma,Credit,AgriBank
53.0,6.0,3306.0,16893.0,False,Hwange,Credit,Banc ABC
53.0,6.0,3306.0,16893.0,False,Bindura,Credit,CBZ Bank
53.0,6.0,3306.0,16893.0,False,Harare,Debit,Cabs Bank
53.0,6.0,3306.0,16893.0,False,Kadoma,Credit,NMB Bank
53.0,6.0,3285.0,16893.0,False,Bulawayo,Debit,FBC Bank
113.0,5.0,73.0,16893.0,False,Kwekwe,Debit,FBC Bank
113.0,5.0,69.0,16893.0,False,Bulawayo,Credit,AgriBank
53.0,4.0,20046.0,16893.0,False,Kadoma,Debit,FBC Bank
53.0,6.0,4010.0,16893.0,False,Nyanga,Credit,Cabs Bank
53.0,6.0,4010.0,16893.0,False,Marondera,Credit,AgriBank
53.0,6.0,4010.0,16893.0,False,Bulawayo,Credit,Cabs Bank
53.0,6.0,4010.0,16893.0,False,Bulawayo,Credit,Cabs Bank
53.0,6.0,4010.0,16893.0,False,Bulawayo,Credit,AgriBank
53.0,4.0,7621.0,16893.0,False,Bindura,Credit,NMB Bank
53.0,6.0,2548.0,16893.0,False,Harare,Credit,First Capital Bank
53.0,6.0,2548.0,16893.0,False,Harare,Credit,Cabs Bank
53.0,6.0,2526.0,16893.0,False,Nyanga,Debit,Cabs Bank
113.0,5.0,84.0,16893.0,False,Bindura,Credit,Cabs Bank
113.0,5.0,14.0,16893.0,False,Bulawayo,Credit,Cabs Bank
28.0,8.0,305.0,16893.0,False,Harare,Credit,AgriBank
113.0,5.0,11.0,16893.0,False,Bindura,Credit,Cabs Bank
89.0,8.0,2.0,16893.0,False,Kadoma,Debit,AgriBank
15.0,13.0,879.0,16893.0,False,Harare,Credit,FBC Bank
84.0,6.0,59.0,16893.0,False,Bulawayo,Credit,Standard Bank
52.0,4.0,3411.0,16893.0,False,Bulawayo,Credit,NMB Bank
52.0,4.0,916.0,16893.0,False,Harare,Debit,Steward Bank
52.0,4.0,1171.0,16893.0,False,Bulawayo,Debit,Banc ABC
55.0,4.0,132.0,16893.0,False,Marondera,Credit,FBC Bank
52.0,4.0,716.0,16893.0,False,Bulawayo,Debit,Standard Bank
47.0,4.0,36.0,16893.0,False,Kadoma,Debit,FBC Bank
219.0,12.0,676.0,16893.0,False,Harare,Credit,FBC Bank
53.0,4.0,13712.0,16893.0,False,Bulawayo,Credit,FBC Bank
53.0,6.0,3428.0,16893.0,False,Bulawayo,Debit,AgriBank
53.0,6.0,3428.0,16893.0,False,Harare,Debit,AgriBank
53.0,6.0,3428.0,16893.0,False,Nyanga,Debit,FBC Bank
53.0,6.0,3428.0,16893.0,False,Nyanga,Credit,AgriBank
53.0,4.0,13743.0,16893.0,False,Bulawayo,Credit,AgriBank
53.0,6.0,3436.0,16893.0,False,Kadoma,Credit,AgriBank
53.0,6.0,3436.0,16893.0,False,Bulawayo,Credit,FBC Bank
53.0,6.0,3436.0,16893.0,False,Bulawayo,Credit,Cabs Bank
53.0,6.0,3436.0,16893.0,False,Bulawayo,Credit,Standard Bank
53.0,4.0,13323.0,16893.0,False,Kadoma,Debit,AgriBank
5.0,5.0,200.0,16893.0,False,Bindura,Credit,AgriBank
169.0,1.0,93.0,16893.0,False,Harare,Credit,Cabs Bank
53.0,6.0,13323.0,16893.0,False,Harare,Credit,Cabs Bank
53.0,4.0,13423.0,16893.0,False,Harare,Credit,FBC Bank
53.0,6.0,13423.0,16893.0,False,Harare,Debit,AgriBank
45.0,6.0,90.0,16893.0,False,Harare,Credit,Steward Bank
215.0,2.0,133.0,16893.0,False,Bulawayo,Credit,FBC Bank
113.0,5.0,77.0,16893.0,False,Harare,Credit,AgriBank
15.0,13.0,879.0,16893.0,False,Bulawayo,Credit,AgriBank
113.0,5.0,77.0,16893.0,False,Bindura,Credit,FBC Bank
113.0,5.0,10.0,16893.0,False,Bulawayo,Credit,Steward Bank
215.0,2.0,105.0,16893.0,False,Harare,Credit,Cabs Bank
47.0,4.0,35.0,16893.0,False,Kadoma,Credit,Cabs Bank
20.0,5.0,59.0,16893.0,False,Bulawayo,Debit,FBC Bank
53.0,4.0,7014.0,16893.0,False,Harare,Credit,AgriBank
53.0,6.0,3507.0,16893.0,False,Bindura,Debit,FBC Bank
53.0,6.0,3507.0,16893.0,False,Marondera,Debit,FBC Bank
14.0,3.0,2440.0,16893.0,False,Harare,Credit,Cabs Bank
14.0,3.0,800.0,16893.0,False,Bulawayo,Credit,FBC Bank
53.0,4.0,10729.0,16893.0,False,Nyanga,Debit,Cabs Bank
53.0,6.0,3577.0,16893.0,False,Bulawayo,Debit,Steward Bank
