feature0,feature1,feature2,feature3,feature4,age,feature5,cv_data,asv,cvv,Amount,CardNo,Label,location,card_type,bank
435.0,346.0,21.0,18.0,129.0,113.0,108.0,104.0,2.0,1.0,8829.0,13473.0,True,Nyanga,Credit,First Capital Bank
436.0,312.0,79.0,40.0,130.0,55.0,3.0,17.0,5.0,3.0,283.0,16023.0,False,Harare,Credit,AgriBank
436.0,335.0,76.0,49.0,75.0,120.0,100.0,17.0,12.0,3.0,120.0,16023.0,False,Hwange,Credit,AgriBank
436.0,268.0,76.0,171.0,165.0,226.0,110.0,17.0,9.0,2.0,3193.0,16023.0,False,Nyanga,Credit,Steward Bank
436.0,268.0,76.0,171.0,165.0,226.0,110.0,17.0,9.0,2.0,3193.0,16023.0,False,Bulawayo,Debit,Cabs Bank
436.0,268.0,76.0,171.0,165.0,226.0,110.0,17.0,9.0,2.0,3193.0,16023.0,False,Hwange,Credit,AgriBank
436.0,268.0,76.0,171.0,165.0,226.0,110.0,17.0,9.0,2.0,3193.0,16023.0,False,Kadoma,Debit,FBC Bank
436.0,335.0,76.0,49.0,75.0,120.0,100.0,17.0,12.0,3.0,53.0,16023.0,False,Harare,Credit,FBC Bank
436.0,335.0,76.0,49.0,75.0,120.0,100.0,17.0,12.0,3.0,47.0,16023.0,False,Bulawayo,Credit,FBC Bank
436.0,335.0,76.0,49.0,75.0,120.0,100.0,17.0,12.0,3.0,127.0,16023.0,False,Kadoma,Credit,AgriBank
436.0,335.0,76.0,49.0,75.0,120.0,100.0,17.0,12.0,3.0,113.0,16023.0,False,Harare,Credit,FBC Bank
436.0,335.0,76.0,49.0,75.0,120.0,100.0,17.0,12.0,3.0,133.0,16023.0,False,Bindura,Credit,FBC Bank
439.0,759.0,116.0,157.0,8.0,12.0,4.0,16.0,3.0,2.0,1.0,16023.0,False,Harare,Credit,Cabs Bank
439.0,759.0,116.0,157.0,8.0,12.0,4.0,16.0,3.0,2.0,468.0,16023.0,False,Kadoma,Credit,CBZ Bank
436.0,312.0,79.0,40.0,130.0,55.0,3.0,17.0,4.0,3.0,125.0,16023.0,False,Bulawayo,Debit,Standard Bank
436.0,312.0,79.0,40.0,130.0,55.0,3.0,17.0,5.0,3.0,125.0,16023.0,False,Kwekwe,Credit,FBC Bank
439.0,759.0,116.0,157.0,8.0,12.0,4.0,16.0,3.0,2.0,1000.0,16023.0,False,Harare,Credit,Cabs Bank
439.0,759.0,116.0,157.0,8.0,12.0,4.0,16.0,3.0,2.0,4993.0,16023.0,False,Bindura,Credit,NMB Bank
436.0,312.0,79.0,40.0,130.0,55.0,3.0,17.0,4.0,3.0,246.0,16023.0,False,Kwekwe,Credit,FBC Bank
439.0,759.0,116.0,157.0,8.0,12.0,4.0,16.0,3.0,2.0,11618.0,16023.0,False,Harare,Credit,Banc ABC
436.0,336.0,76.0,45.0,75.0,103.0,11.0,17.0,5.0,2.0,3287.0,16023.0,False,Kadoma,Credit,FBC Bank
436.0,352.0,77.0,2.0,89.0,48.0,12.0,17.0,4.0,1.0,1617.0,16023.0,False,Bulawayo,Debit,AgriBank
436.0,109.0,63.0,439.0,100.0,15.0,11.0,17.0,9.0,9.0,485.0,16023.0,False,Kwekwe,Credit,Standard Bank
439.0,759.0,116.0,157.0,8.0,12.0,4.0,16.0,3.0,2.0,3059.0,16023.0,False,Bulawayo,Debit,Cabs Bank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,2500.0,16559.0,False,Bulawayo,Credit,Steward Bank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,1546.0,16559.0,False,Bindura,Credit,Steward Bank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,2500.0,16559.0,False,Harare,Debit,FBC Bank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,850.0,16559.0,False,Bulawayo,Credit,NMB Bank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,650.0,16559.0,False,Bulawayo,Credit,AgriBank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,2887.0,16559.0,False,Hwange,Credit,First Capital Bank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,2887.0,16559.0,False,Bindura,Credit,Standard Bank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,850.0,16559.0,False,Kadoma,Credit,Cabs Bank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,650.0,16559.0,False,Bulawayo,Credit,Cabs Bank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,2887.0,16559.0,False,Harare,Credit,Cabs Bank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,2887.0,16559.0,False,Harare,Credit,AgriBank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,850.0,16559.0,False,Harare,Credit,Cabs Bank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,650.0,16559.0,False,Kadoma,Debit,CBZ Bank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,565.0,16559.0,False,Bindura,Credit,FBC Bank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,1726.0,16559.0,False,Harare,Credit,CBZ Bank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,1161.0,16559.0,False,Bindura,Credit,AgriBank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,850.0,16559.0,False,Bindura,Credit,Banc ABC
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,650.0,16559.0,False,Bindura,Credit,Cabs Bank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,2500.0,16559.0,False,Harare,Credit,AgriBank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,2500.0,16559.0,False,Marondera,Credit,Steward Bank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,850.0,16559.0,False,Bulawayo,Debit,FBC Bank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,650.0,16559.0,False,Bulawayo,Credit,First Capital Bank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,2500.0,16559.0,False,Marondera,Credit,AgriBank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,2500.0,16559.0,False,Harare,Debit,Cabs Bank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,850.0,16559.0,False,Harare,Credit,AgriBank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,650.0,16559.0,False,Bulawayo,Credit,NMB Bank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,2500.0,16559.0,False,Kadoma,Credit,Steward Bank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,2500.0,16559.0,False,Bulawayo,Debit,FBC Bank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,850.0,16559.0,False,Bindura,Credit,NMB Bank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,650.0,16559.0,False,Bulawayo,Credit,AgriBank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,2500.0,16559.0,False,Bindura,Credit,Cabs Bank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,2500.0,16559.0,False,Harare,Debit,AgriBank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,850.0,16559.0,False,Hwange,Credit,AgriBank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,650.0,16559.0,False,Harare,Credit,FBC Bank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,2500.0,16559.0,False,Harare,Debit,Steward Bank
437.0,330.0,126.0,41.0,106.0,44.0,4.0,16.0,13.0,2.0,2500.0,16559.0,False,Harare,Credit,Cabs Bank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,850.0,16559.0,False,Marondera,Credit,Cabs Bank
437.0,344.0,125.0,38.0,107.0,46.0,4.0,16.0,7.0,1.0,650.0,16559.0,False,Harare,Credit,NMB Bank
435.0,343.0,317.0,69.0,75.0,113.0,11.0,17.0,5.0,2.0,84.0,16893.0,False,Harare,Credit,FBC Bank
435.0,343.0,317.0,69.0,75.0,113.0,11.0,17.0,5.0,2.0,34.0,16893.0,False,Harare,Debit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,2518.0,16893.0,False,Bindura,Credit,First Capital Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,2518.0,16893.0,False,Hwange,Credit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,5036.0,16893.0,False,Bulawayo,Debit,First Capital Bank
437.0,748.0,357.0,171.0,12.0,14.0,4.0,16.0,3.0,2.0,140.0,16893.0,False,Harare,Credit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,6548.0,16893.0,False,Harare,Credit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3274.0,16893.0,False,Harare,Credit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3274.0,16893.0,False,Kadoma,Debit,NMB Bank
437.0,748.0,357.0,171.0,12.0,14.0,4.0,16.0,3.0,2.0,20.0,16893.0,False,Harare,Debit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,6537.0,16893.0,False,Harare,Debit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3269.0,16893.0,False,Harare,Credit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3269.0,16893.0,False,Harare,Credit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,6537.0,16893.0,False,Bulawayo,Debit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3269.0,16893.0,False,Kadoma,Credit,Banc ABC
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3269.0,16893.0,False,Kadoma,Credit,Banc ABC
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,5023.0,16893.0,False,Bulawayo,Credit,First Capital Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,2512.0,16893.0,False,Harare,Credit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,2512.0,16893.0,False,Harare,Debit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,3045.0,16893.0,False,Harare,Debit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,1015.0,16893.0,False,Bulawayo,Debit,NMB Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,1015.0,16893.0,False,Bulawayo,Credit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,1015.0,16893.0,False,Harare,Credit,FBC Bank
437.0,748.0,357.0,171.0,12.0,14.0,4.0,16.0,3.0,2.0,564.0,16893.0,False,Bindura,Credit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,7995.0,16893.0,False,Harare,Credit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3998.0,16893.0,False,Bulawayo,Debit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3998.0,16893.0,False,Bulawayo,Debit,AgriBank
435.0,322.0,321.0,54.0,127.0,52.0,4.0,17.0,4.0,3.0,1844.0,16893.0,False,Nyanga,Credit,FBC Bank
435.0,322.0,321.0,54.0,127.0,52.0,4.0,17.0,4.0,4.0,1779.0,16893.0,False,Hwange,Credit,AgriBank
435.0,329.0,323.0,4.0,110.0,15.0,4.0,16.0,13.0,1.0,879.0,16893.0,False,Kadoma,Debit,Steward Bank
435.0,324.0,321.0,50.0,126.0,47.0,4.0,17.0,4.0,4.0,31.0,16893.0,False,Harare,Credit,FBC Bank
435.0,435.0,308.0,14.0,675.0,169.0,34.0,17.0,1.0,6.0,145.0,16893.0,False,Harare,Credit,Cabs Bank
437.0,748.0,357.0,171.0,12.0,14.0,4.0,16.0,3.0,2.0,600.0,16893.0,False,Harare,Debit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,9762.0,16893.0,False,Hwange,Credit,First Capital Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3261.0,16893.0,False,Kadoma,Credit,NMB Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3261.0,16893.0,False,Harare,Credit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3240.0,16893.0,False,Kadoma,Debit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,9762.0,16893.0,False,Harare,Credit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3261.0,16893.0,False,Kadoma,Credit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3261.0,16893.0,False,Bulawayo,Credit,Banc ABC
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,3240.0,16893.0,False,Hwange,Credit,Standard Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,2513.0,16893.0,False,Kadoma,Credit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,2513.0,16893.0,False,Bindura,Debit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,2492.0,16893.0,False,Bindura,Credit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,7516.0,16893.0,False,Kwekwe,Debit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,7516.0,16893.0,False,Harare,Debit,NMB Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,2513.0,16893.0,False,Nyanga,Credit,Cabs Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,2513.0,16893.0,False,Bulawayo,Credit,AgriBank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,2492.0,16893.0,False,Bulawayo,Credit,FBC Bank
435.0,363.0,318.0,14.0,93.0,46.0,12.0,17.0,4.0,1.0,217.0,16893.0,False,Harare,Debit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,4.0,3.0,4398.0,16893.0,False,Kadoma,Credit,Banc ABC
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,1466.0,16893.0,False,Nyanga,Credit,Steward Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,1466.0,16893.0,False,Bulawayo,Credit,FBC Bank
435.0,322.0,321.0,55.0,127.0,53.0,4.0,17.0,6.0,7.0,1466.0,16893.0,False,Harare,Credit,AgriBank
435.0,348.0,322.0,15.0,108.0,33.0,4.0,16.0,12.0,2.0,208.0,16893.0,False,Harare,Debit,AgriBank
